DOY,hour,QmMed,QvMed,QbMed,AHFMed,QmMean,QvMean,QbMean,AHFMean
336,0,2.904,0.188,39.251,42.344,2.409,0.156,32.561,35.126
336,1,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
336,2,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
336,3,2.904,0.113,23.551,26.568,2.409,0.093,19.536,22.039
336,4,2.904,0.113,23.551,26.568,2.409,0.093,19.536,22.039
336,5,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
336,6,4.841,0.225,47.102,52.168,4.016,0.187,39.073,43.275
336,7,6.777,0.3,62.802,69.88,5.622,0.249,52.097,57.968
336,8,6.777,0.376,78.503,85.655,5.622,0.312,65.122,71.055
336,9,6.777,0.451,94.203,101.431,5.622,0.374,78.146,84.142
336,10,6.777,0.488,102.054,109.319,5.622,0.405,84.658,90.685
336,11,6.777,0.526,109.904,117.207,5.622,0.436,91.17,97.228
336,12,6.777,0.563,117.754,125.095,5.622,0.467,97.682,103.772
336,13,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
336,14,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
336,15,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
336,16,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
336,17,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
336,18,6.777,0.526,109.904,117.207,5.622,0.436,91.17,97.228
336,19,6.777,0.488,102.054,109.319,5.622,0.405,84.658,90.685
336,20,6.777,0.413,86.353,93.543,5.622,0.343,71.634,77.598
336,21,6.777,0.338,70.653,77.768,5.622,0.28,58.609,64.512
336,22,4.841,0.263,54.952,60.056,4.016,0.218,45.585,49.819
336,23,2.904,0.188,39.251,42.344,2.409,0.156,32.561,35.126
337,0,2.904,0.188,39.251,42.344,2.409,0.156,32.561,35.126
337,1,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
337,2,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
337,3,2.904,0.113,23.551,26.568,2.409,0.093,19.536,22.039
337,4,2.904,0.113,23.551,26.568,2.409,0.093,19.536,22.039
337,5,2.904,0.15,31.401,34.456,2.409,0.125,26.049,28.583
337,6,4.841,0.225,47.102,52.168,4.016,0.187,39.073,43.275
337,7,6.777,0.3,62.802,69.88,5.622,0.249,52.097,57.968
337,8,6.777,0.376,78.503,85.655,5.622,0.312,65.122,71.055
337,9,6.777,0.451,94.203,101.431,5.622,0.374,78.146,84.142
337,10,6.777,0.488,102.054,109.319,5.622,0.405,84.658,90.685
337,11,6.777,0.526,109.904,117.207,5.622,0.436,91.17,97.228
337,12,6.777,0.563,117.754,125.095,5.622,0.467,97.682,103.772
337,13,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
337,14,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
337,15,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
337,16,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
337,17,6.777,0.601,125.605,132.983,5.622,0.498,104.195,110.315
337,18,6.777,0.526,109.904,117.207,5.622,0.436,91.17,97.228
337,19,6.777,0.488,102.054,109.319,5.622,0.405,84.658,90.685
337,20,6.777,0.413,86.353,93.543,5.622,0.343,71.634,77.598
337,21,6.777,0.338,70.653,77.768,5.622,0.28,58.609,64.512
337,22,4.841,0.263,54.952,60.056,4.016,0.218,45.585,49.819
337,23,2.904,0.188,39.251,42.344,2.409,0.156,32.561,35.126
338,0,2.904,0.094,39.251,42.25,2.409,0.078,32.561,35.048
338,1,2.904,0.047,31.401,34.353,2.409,0.039,26.049,28.497
338,2,2.904,0.047,31.401,34.353,2.409,0.039,26.049,28.497
338,3,2.904,0.094,23.551,26.549,2.409,0.078,19.536,22.024
338,4,2.904,0.235,23.551,26.69,2.409,0.195,19.536,22.141
338,5,2.904,0.376,31.401,34.681,2.409,0.312,26.049,28.77
